2257 50385 11599 2956
1790 5191 605 147
1721 10452 3056 952
1554 149 5894 150
1676 2077 2663 157
11040 49 31679 1195
7915 1823 122 1595
3056 22253 198 179
122 400 983 1700
998 150 158 149
64861 1206 49 917
516 646 817 338
1281401 997 590 3056
76254 2142 1678 35464
18105 619069 149 122
122 2136 104346 2851
1793 5835 414 394
4732824 7585 273 4732744
440 539813 514 124
2174 84329 114721 149
22 30 631 146
5531 308 598 1576
96419 295 1003 7594
2252 2203 247 428
1308 2556 9739 6503
122 385 103 13506
402 8 905 57388
1017238 1382 3467 122
132846 44574 998 54277
22348 2846 2312 536
18785 975 169895 2174
1112 1173 1789 8666
136327 1745 122 8789
5824 5897 346 539455
3682 535 361 146
1466 57766 5262 2034
147 150 1211 396
4171 243 3974 158
858 878 791 4662
13171 51 13145 990
1308 124 1241 591
640 150 19198 8746
1172 4104 938 3522
2851 919 122 147
147 356831 6708 610112
13400 2557 21928 3784
122 321663 150 878
122 1466 57766 1965
2709608 1158 216 842
18772 147 3094751 812
320 158 281 318
11826 1788794 13666 21292
5163 1823 6458 596
396 11493 335341 335356
2208 444 9075 1699
859 1029 1977 3055
8 989 17168 1155
3876141 164808 1733 122
5196 6936 1828 905
842 998 942050 206
1011 3623 158 122
401 2421 1255290 2050
2446 288 5491 1112
990 70756 274 3705
2419 3970 273 15035
247 124 10387 1114
1458 4353 8 446
13456 1823 75 1649
805 2721 2300 633
181 4353 407 8
4796 260 122 758
50643 715 6061 332
97 4754 8 1801
38028 69166 2751792 2789626
747 860 3620865 330
26915 8624 4638 12272
1265 3417528 81 122
150 2992 1451 11110
20232 208 33488 338
437 6704 2757 4838
357 122 1231 43070
1029 1311 11009 306
503174 24594 9024 4462
990 1640 11858 5238270
158 150 1051418 1055
19042 122 233013 19938
998 760 154 148
1226095 220 320335 8337
1308 6503 9739 2556
12013 41136 49 20629
3970 273 459 1279
147 150 11166 17604
312 546 741 30
122 576 142 154
998 10582 3194 11988
122 13685 2136 147
357 1700 17168 179
150 563 122 1852305
2815 3770 4623 8
3056 198 10 2098
